X	Y	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20
708684.2977	1584129.193	0.12	6.88	3.82	12.94	1.73	0.88	0.06	15.6	2.88	0.55	3.2	2.65	5.85	8.77	31.11	60.13	34.71	17.37	0.86	343.2
708671.8449	1584118.794	0.07	6.5	3.61	10.46	1.28	0.67	0.07	12.48	2.4	0.55	2.3	2.15	9.1	8.58	22.8	68.62	36.02	17.96	0.9	261.3
708659.9944	1584109.061	0.11	6.4	1.44	10.86	1.44	0.95	0.05	13.29	5.4	0.6	2.3	2.75	10.65	8.9	27.23	63.87	39.06	18.69	0.89	370.5
708648.0243	1584099.921	0.15	7	2.89	11.43	2.08	1.27	0.02	14.8	22.06	0.7	3.25	5.6	25.6	10.55	27.17	62.28	34.88	16.38	0.99	495.3
708635.6116	1584091.17	0.07	6.56	2.58	11.58	2.04	0.71	0.06	14.39	1.92	0.5	2.4	2	14.2	10.42	27.17	62.41	36.41	17.01	0.91	276.9
708622.9578	1584082.592	0.06	7.08	4.02	8.44	1.32	0.68	0.02	10.45	12.95	0.45	3.65	1.95	35.6	10.67	27.14	62.18	35.74	17.86	0.94	265.2
708610.3041	1584074.013	0.07	6.65	3.72	11.34	1.44	0.92	0.17	13.87	8.51	0.75	3.8	4.5	22.1	12.55	29.57	57.89	34.11	16.35	0.98	358.8
708592.1006	1584061.471	0.1	6.49	4.54	13.75	1.73	0.89	0.1	16.47	11.75	0.5	4.8	2.75	27.7	10.52	34.03	55.45	44.48	19.82	0.89	347.1
708672.8894	1584147.349	0.09	6.53	3.92	13.17	1.91	0.62	0.04	15.74	11.27	0.5	4.6	3.55	6.2	8.68	28.94	62.38	36.51	18.48	0.86	241.8
708659.1478	1584137.908	0.08	6.56	3.51	11.78	1.46	0.73	0.03	14	5.64	0.5	3.85	1.75	8.55	8.63	22.54	68.84	35.03	18.69	0.91	284.7
708646.3662	1584129.243	0.07	6.86	2.89	11.84	1.07	0.68	0.05	13.65	0.72	0.55	1.4	1.05	7.7	9.7	42.3	48	41.89	22.25	0.82	265.2
708633.9681	1584120.838	0.11	6.6	2.79	14.03	1.58	0.96	0.07	16.65	9.47	0.4	3.3	1.8	3.8	8.69	28.77	62.54	33.3	16.66	0.93	374.4
708621.3144	1584112.26	0.07	6.97	2.99	10.13	1.36	0.71	0.02	12.22	6.11	0.55	2.25	2.8	18.7	10.63	27.22	62.15	34.24	16.92	0.94	276.9
708608.6606	1584103.681	0.1	6.61	2.48	10.93	1.87	0.89	0.05	13.75	27.46	0.6	4.3	2.2	18.1	10.53	28.97	60.51	39.04	18.75	0.91	347.1
708596.0069	1584095.103	0.06	6.95	3.61	8.37	1.65	0.57	0.04	10.63	3.12	0.7	2.85	2.75	18.75	12.83	37.47	49.7	40.32	18.57	0.86	222.3
708578.8375	1584083.239	0.12	6.38	4.75	16.84	2.61	0.85	0.16	20.45	25.66	0.6	5.5	3.6	29.55	10.5	27.62	61.88	44.05	24.45	0.82	331.5
708660.6381	1584166.886	0.06	6.45	4.33	10.72	1.46	0.54	0.05	12.77	45.32	0.4	2.95	2.25	10.1	8.64	24.75	66.61	37.74	18.05	0.87	210.6
708646.237	1584156.952	0.08	6.56	3.2	11.54	1.38	0.91	0.06	13.88	10.07	0.4	2.7	0.65	7.85	8.68	29.02	62.3	37.14	18.78	0.89	354.9
708633.4554	1584148.287	0.09	6.54	3.2	12.82	1.44	0.82	0.1	15.17	8.39	0.6	2.9	0.1	6.2	8.67	28.84	62.49	36.22	18.31	0.89	319.8
708621.0573	1584139.882	0.04	7.12	2.89	11.34	1.28	0.73	0.07	13.42	21.46	0.5	2.45	3.35	7.65	10.83	31.25	57.92	37.9	18.08	0.86	284.7
708608.4036	1584131.304	0.08	7.15	4.13	11.38	1.6	0.69	0.03	13.71	11.99	0.55	1.8	2.1	9.2	10.66	27.55	61.79	35.22	17.04	0.92	269.1
708595.7498	1584122.726	0.08	6.61	2.89	10.93	1.69	0.77	0.06	13.45	11.75	0.75	3.95	0.05	18.7	10.36	23.19	66.46	39.7	16.78	0.98	300.3
708583.0961	1584114.148	0.07	6.99	3.51	14.66	1.67	0.6	0.09	17.02	28.18	0.7	4.6	3.9	24.5	8.39	27.56	64.05	34.94	17.8	1.02	234
708566.8142	1584102.961	0.07	6.6	3.3	13.5	1.42	0.69	0.11	15.73	15.59	0.6	4.75	2.2	10.65	10.56	23.17	66.26	38.89	17.7	0.91	269.1
708648.2964	1584186.298	0.12	6.45	5.06	13.57	1.71	0.66	0.05	15.99	26.14	0.4	4.25	1.7	6.3	8.61	28.57	62.83	37.03	18.94	0.87	257.4
708633.3262	1584175.997	0.05	6.64	5.16	11.63	1.07	0.31	0.07	13.08	6.95	0.25	4.3	2.4	7.4	8.84	29.53	61.63	39.68	20.72	0.84	120.9
708620.5446	1584167.332	0.07	6.38	3.61	10.81	1.54	0.57	0.06	12.97	3.24	1.6	1.9	1.8	5.95	8.74	39.79	51.48	40.32	20.92	0.82	222.3
708608.1465	1584158.927	0.04	6.43	3.92	8.69	1.13	0.34	0.06	10.22	0.48	0.45	1.8	1.1	4.6	11.68	42.33	45.99	38.45	18.14	0.79	132.6
708595.4928	1584150.349	0.07	6.99	4.23	8.39	0.99	0.52	0.03	9.92	0.96	0.6	2.2	2.05	10.8	10.57	22.96	66.47	37.85	17.68	0.88	202.8
708582.839	1584141.77	0.07	6.47	3.41	7.73	1.52	0.6	0.04	9.89	5.88	0.65	3.2	3.35	29.25	10.44	22.86	66.69	37.72	16.13	0.95	234
708570.1853	1584133.192	0.1	6.8	3.51	12.14	1.46	0.66	0.11	14.37	24.46	0.65	4.35	4.35	24	10.41	29.54	60.04	35.5	16.95	0.96	257.4
708554.9498	1584122.625	0.1	6.67	5.88	11.43	1.91	0.86	0.06	14.26	14.99	0.65	4.2	3.85	18.55	12.73	25.79	61.49	34.37	15.88	0.94	335.4
708635.875	1584205.662	0.19	6.53	4.75	15.55	2.2	0.41	0.07	18.24	62.47	0.3	3.95	1.6	10.7	8.49	26.84	64.67	38.54	20.6	0.85	159.9
708620.4362	1584195.014	0.05	6.43	4.33	8.66	1.99	0.32	0.05	11.03	8.87	0.35	3	1.15	3.7	11	29.42	59.57	36.83	17.55	0.88	124.8
708607.6634	1584186.336	0.19	6.26	4.54	11.97	1.42	0.78	0.1	14.27	9.35	0.4	4.15	3.85	8.95	8.77	26.85	64.38	36.86	19.29	0.83	304.2
708595.2741	1584177.918	0.06	6.75	3.3	10.62	1.91	0.33	0.14	13	6.71	0.4	3	3.1	4.05	9.03	30.81	60.17	34.47	17.31	0.9	128.7
708582.6293	1584169.327	0.11	6.51	2.79	11.03	1.75	0.55	0.03	13.36	7.43	0.4	3.25	3	14.05	10.99	30.74	58.27	35.99	16.69	0.9	214.5
708569.9844	1584160.735	0.06	6.91	3.72	8.3	1.17	0.45	0.01	9.93	3.12	0.3	2.5	2.4	12.7	10.44	24.88	64.67	37.11	16.6	1.02	175.5
708557.3396	1584152.144	0.08	6.89	4.13	9.96	1.38	0.51	0.05	11.9	12.11	0.3	2.75	2.3	11	10.44	24.93	64.63	39.04	16.89	0.97	198.9
708543.2321	1584142.053	0.1	6.37	4.02	12.49	1.46	0.66	0.1	14.72	6.95	0.4	3.75	4.3	21.1	10.5	29.67	59.83	36.26	17.34	0.92	257.4
708621.9157	1584226.216	0.09	6.17	4.64	9.46	1.38	0.47	0.05	11.36	2.64	0.4	2.55	2.3	5.85	8.54	30.82	60.63	37.63	18.15	0.88	183.3
708606.8023	1584215.24	0.11	6.55	3.82	10.71	1.62	0.43	0.07	12.84	1.8	0.45	2.25	1.9	4.65	8.66	29.13	62.21	35.4	17.06	0.91	167.7
708594.3793	1584206.032	0.1	6.76	4.54	10.2	1.99	0.61	0.05	12.85	90.4	0.75	4.5	3.3	3.36	8.73	30.97	60.3	34.71	18.03	0.89	237.9
708582.3136	1584197.138	0.07	6.56	4.85	9.35	2.34	0.24	0.06	11.99	4.44	0.4	1.95	1.15	6.05	9.13	26.75	64.12	33.86	16.94	0.95	93.6
708569.9894	1584188.078	0.16	6.55	5.06	12.33	3.23	0.73	0.07	16.36	20.38	0.3	4.5	2.7	14.25	10.51	31.61	57.88	36.45	17.95	0.91	284.7
